ThreatCount,CompName,MITREID,Technique,Tactic,Matrix,Likelihood,Impact,Detectability,Risk,Rating,Rec.Mitigations
41,SIS-AI Server,T1564.007,VBA Stomping,defense-evasion,Enterprise,"1,83457659","0,19596527399999997","0,4","0,14380532165333423",Low,['Disable or Remove Feature or Program']
42,SIS-AI Server,T1205.001,Port Knocking,defense-evasion,Enterprise,"1,62014556","0,19596527399999997",1,"0,3174922685852834",Low,['Filter Network Traffic']
43,SIS-AI Server,T1205.001,Port Knocking,persistence,Enterprise,"1,62014556","0,19596527399999997",1,"0,3174922685852834",Low,['Filter Network Traffic']
44,SIS-AI Server,T1205.001,Port Knocking,command-and-control,Enterprise,"1,62014556","0,363636363",1,"0,5891438389689984",Low,['Filter Network Traffic']
45,SIS-AI Server,T1564.006,Run Virtual Instance,defense-evasion,Enterprise,"1,04832948","0,19596527399999997","0,4","0,082174469516191",Low,"['Disable or Remove Feature or Program', 'Execution Prevention']"
46,SIS-AI Server,T1564.005,Hidden File System,defense-evasion,Enterprise,"1,04832948","0,19596527399999997",1,"0,2054361737904775",Low,[]
47,SIS-AI Server,T1556.003,Pluggable Authentication Modules,credential-access,Enterprise,"0,45653058","0,363636363",1,"0,16601111970948054",Low,"['Multi-factor Authentication', 'Privileged Account Management']"
48,SIS-AI Server,T1556.003,Pluggable Authentication Modules,defense-evasion,Enterprise,"0,45653058","0,19596527399999997",1,"0,0894641401990789",Low,"['Multi-factor Authentication', 'Privileged Account Management']"
49,SIS-AI Server,T1556.003,Pluggable Authentication Modules,persistence,Enterprise,"0,45653058","0,19596527399999997",1,"0,0894641401990789",Low,"['Multi-factor Authentication', 'Privileged Account Management']"
50,SIS-AI Server,T1098.004,SSH Authorized Keys,persistence,Enterprise,"2,515145325","0,19596527399999997","0,4","0,19715245710537763",Low,"['Restrict File and Directory Permissions', 'User Account Management', 'Disable or Remove Feature or Program']"
51,SIS-AI Server,T1480.001,Environmental Keying,defense-evasion,Enterprise,"1,4372259","0,19596527399999997",1,"0,28164636729339654",Low,['Do Not Mitigate']
52,SIS-AI Server,T1059.007,JavaScript,execution,Enterprise,"1,83457659","0,64556691","0,4","0,4737367761458548",Low,"['Restrict Web-Based Content', 'Behavior Prevention on Endpoint', 'Disable or Remove Feature or Program', 'Execution Prevention']"
53,SIS-AI Server,T1027.005,Indicator Removal from Tools,defense-evasion,Enterprise,"2,515145325","0,19596527399999997",1,"0,492881142763444",Low,[]
54,SIS-AI Server,T1562.006,Indicator Blocking,defense-evasion,Enterprise,"2,515145325","0,19596527399999997",1,"0,492881142763444",Low,"['Restrict File and Directory Permissions', 'Software Configuration', 'User Account Management']"
55,SIS-AI Server,T1573.002,Asymmetric Cryptography,command-and-control,Enterprise,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,"['SSL/TLS Inspection', 'Network Intrusion Prevention']"
56,SIS-AI Server,T1573.001,Symmetric Cryptography,command-and-control,Enterprise,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,['Network Intrusion Prevention']
57,SIS-AI Server,T1573,Encrypted Channel,command-and-control,Enterprise,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,"['SSL/TLS Inspection', 'Network Intrusion Prevention']"
58,SIS-AI Server,T1027.004,Compile After Delivery,defense-evasion,Enterprise,"1,83457659","0,19596527399999997",1,"0,3595133041333356",Low,[]
59,SIS-AI Server,T1071.004,DNS,command-and-control,Enterprise,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,"['Network Intrusion Prevention', 'Filter Network Traffic', 'Pre-compromise']"
60,SIS-AI Server,T1071.003,Mail Protocols,command-and-control,Enterprise,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,['Network Intrusion Prevention']
61,SIS-AI Server,T1071.002,File Transfer Protocols,command-and-control,Enterprise,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,['Network Intrusion Prevention']
62,SIS-AI Server,T1071.001,Web Protocols,command-and-control,Enterprise,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,['Network Intrusion Prevention']
63,SIS-AI Server,T1572,Protocol Tunneling,command-and-control,Enterprise,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,"['Filter Network Traffic', 'Network Intrusion Prevention']"
64,SIS-AI Server,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,exfiltration,Enterprise,"1,4372259","0,583636363","0,19999999999999996","0,16776345941708032",Low,"['Network Intrusion Prevention', 'Filter Network Traffic', 'Network Segmentation', 'Data Loss Prevention']"
65,SIS-AI Server,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,exfiltration,Enterprise,"1,4372259","0,583636363","0,19999999999999996","0,16776345941708032",Low,"['Filter Network Traffic', 'Network Intrusion Prevention', 'Network Segmentation', 'Data Loss Prevention']"
66,SIS-AI Server,T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,exfiltration,Enterprise,"1,4372259","0,583636363","0,19999999999999996","0,16776345941708032",Low,"['Filter Network Traffic', 'Network Intrusion Prevention', 'Network Segmentation']"
67,SIS-AI Server,T1001.003,Protocol Impersonation,command-and-control,Enterprise,"3,887042775","0,363636363","0,19999999999999996","0,2826940195052854",Low,['Network Intrusion Prevention']
68,SIS-AI Server,T1001.002,Steganography,command-and-control,Enterprise,"3,887042775","0,363636363","0,19999999999999996","0,2826940195052854",Low,['Network Intrusion Prevention']
69,SIS-AI Server,T1001.001,Junk Data,command-and-control,Enterprise,"3,887042775","0,363636363","0,19999999999999996","0,2826940195052854",Low,['Network Intrusion Prevention']
70,SIS-AI Server,T1132.002,Non-Standard Encoding,command-and-control,Enterprise,"2,83525473","0,363636363","0,19999999999999996","0,20620034363914935",Low,['Network Intrusion Prevention']
71,SIS-AI Server,T1132.001,Standard Encoding,command-and-control,Enterprise,"3,887042775","0,363636363","0,19999999999999996","0,2826940195052854",Low,['Network Intrusion Prevention']
72,SIS-AI Server,T1090.004,Domain Fronting,command-and-control,Enterprise,"2,2211673","0,363636363",1,"0,8076971985865299",Low,['SSL/TLS Inspection']
73,SIS-AI Server,T1090.003,Multi-hop Proxy,command-and-control,Enterprise,"2,2211673","0,363636363",1,"0,8076971985865299",Low,['Filter Network Traffic']
74,SIS-AI Server,T1090.002,External Proxy,command-and-control,Enterprise,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,['Network Intrusion Prevention']
75,SIS-AI Server,T1090.001,Internal Proxy,command-and-control,Enterprise,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,['Network Intrusion Prevention']
76,SIS-AI Server,T1102.003,One-Way Communication,command-and-control,Enterprise,"1,62014556","0,363636363","0,19999999999999996","0,11782876779379965",Low,"['Restrict Web-Based Content', 'Network Intrusion Prevention']"
77,SIS-AI Server,T1102.002,Bidirectional Communication,command-and-control,Enterprise,"1,62014556","0,363636363","0,19999999999999996","0,11782876779379965",Low,"['Restrict Web-Based Content', 'Network Intrusion Prevention']"
78,SIS-AI Server,T1102.001,Dead Drop Resolver,command-and-control,Enterprise,"1,62014556","0,363636363","0,19999999999999996","0,11782876779379965",Low,"['Restrict Web-Based Content', 'Network Intrusion Prevention']"
79,SIS-AI Server,T1571,Non-Standard Port,command-and-control,Enterprise,"2,2211673","0,363636363","0,19999999999999996","0,16153943971730594",Low,"['Network Intrusion Prevention', 'Network Segmentation']"
80,SIS-AI Server,T1074.002,Remote Data Staging,collection,Enterprise,"1,4372259","0,583636363",1,"0,8388172970854018",Low,[]
81,SIS-AI Server,T1074.001,Local Data Staging,collection,Enterprise,"2,515145325","0,583636363",1,"1,467930269899453",Low,[]
82,SIS-AI Server,T1564.003,Hidden Window,defense-evasion,Enterprise,"1,83457659","0,19596527399999997",1,"0,3595133041333356",Low,['Execution Prevention']
83,SIS-AI Server,T1078.003,Local Accounts,defense-evasion,Enterprise,"1,83457659","0,19596527399999997","0,30000000000000004","0,1078539912400007",Low,"['Password Policies', 'Privileged Account Management']"
84,SIS-AI Server,T1078.003,Local Accounts,persistence,Enterprise,"1,83457659","0,19596527399999997","0,30000000000000004","0,1078539912400007",Low,"['Password Policies', 'Privileged Account Management']"
85,SIS-AI Server,T1078.003,Local Accounts,privilege-escalation,Enterprise,"1,83457659","0,19596527399999997","0,30000000000000004","0,1078539912400007",Low,"['Password Policies', 'Privileged Account Management']"
86,SIS-AI Server,T1078.003,Local Accounts,initial-access,Enterprise,"1,83457659","0,363636363","0,30000000000000004","0,2001356276497627",Low,"['Password Policies', 'Privileged Account Management']"
87,SIS-AI Server,T1078.002,Domain Accounts,defense-evasion,Enterprise,"1,83457659","0,19596527399999997",1,"0,3595133041333356",Low,"['Multi-factor Authentication', 'User Training', 'Privileged Account Management']"
88,SIS-AI Server,T1078.002,Domain Accounts,persistence,Enterprise,"1,83457659","0,19596527399999997",1,"0,3595133041333356",Low,"['Multi-factor Authentication', 'User Training', 'Privileged Account Management']"
89,SIS-AI Server,T1078.002,Domain Accounts,privilege-escalation,Enterprise,"1,83457659","0,19596527399999997",1,"0,3595133041333356",Low,"['Multi-factor Authentication', 'User Training', 'Privileged Account Management']"
90,SIS-AI Server,T1078.002,Domain Accounts,initial-access,Enterprise,"1,83457659","0,363636363",1,"0,6671187588325422",Low,"['Multi-factor Authentication', 'User Training', 'Privileged Account Management']"
91,SIS-AI Server,T1078.001,Default Accounts,defense-evasion,Enterprise,"1,83457659","0,19596527399999997","0,30000000000000004","0,1078539912400007",Low,['Password Policies']
92,SIS-AI Server,T1078.001,Default Accounts,persistence,Enterprise,"1,83457659","0,19596527399999997","0,30000000000000004","0,1078539912400007",Low,['Password Policies']
93,SIS-AI Server,T1078.001,Default Accounts,privilege-escalation,Enterprise,"1,83457659","0,19596527399999997","0,30000000000000004","0,1078539912400007",Low,['Password Policies']
94,SIS-AI Server,T1078.001,Default Accounts,initial-access,Enterprise,"1,83457659","0,363636363","0,30000000000000004","0,2001356276497627",Low,['Password Policies']
95,SIS-AI Server,T1564.002,Hidden Users,defense-evasion,Enterprise,"2,515145325","0,19596527399999997",1,"0,492881142763444",Low,['Operating System Configuration']
96,SIS-AI Server,T1574.006,Dynamic Linker Hijacking,persistence,Enterprise,"1,83457659","0,19596527399999997",1,"0,3595133041333356",Low,"['Operating System Configuration', 'Execution Prevention']"
97,SIS-AI Server,T1574.006,Dynamic Linker Hijacking,privilege-escalation,Enterprise,"1,83457659","0,19596527399999997",1,"0,3595133041333356",Low,"['Operating System Configuration', 'Execution Prevention']"
98,SIS-AI Server,T1574.006,Dynamic Linker Hijacking,defense-evasion,Enterprise,"1,83457659","0,19596527399999997",1,"0,3595133041333356",Low,"['Operating System Configuration', 'Execution Prevention']"
99,SIS-AI Server,T1574,Hijack Execution Flow,persistence,Enterprise,"1,4372259","0,19596527399999997","0,19999999999999996","0,056329273458679295",Low,"['User Account Management', 'Restrict Library Loading', 'User Account Control', 'Application Developer Guidance', 'Audit', 'Execution Prevention', 'Update Software', 'Restrict Registry Permissions', 'Restrict File and Directory Permissions', 'Behavior Prevention on Endpoint']"
100,SIS-AI Server,T1574,Hijack Execution Flow,privilege-escalation,Enterprise,"1,4372259","0,19596527399999997","0,19999999999999996","0,056329273458679295",Low,"['User Account Management', 'Restrict Library Loading', 'User Account Control', 'Application Developer Guidance', 'Audit', 'Execution Prevention', 'Update Software', 'Restrict Registry Permissions', 'Restrict File and Directory Permissions', 'Behavior Prevention on Endpoint']"
101,SIS-AI Server,T1574,Hijack Execution Flow,defense-evasion,Enterprise,"1,4372259","0,19596527399999997","0,19999999999999996","0,056329273458679295",Low,"['User Account Management', 'Restrict Library Loading', 'User Account Control', 'Application Developer Guidance', 'Audit', 'Execution Prevention', 'Update Software', 'Restrict Registry Permissions', 'Restrict File and Directory Permissions', 'Behavior Prevention on Endpoint']"
102,SIS-AI Server,T1069.001,Local Groups,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,[]
103,SIS-AI Server,T1570,Lateral Tool Transfer,lateral-movement,Enterprise,"1,4372259","0,363636363","0,19999999999999996","0,10452551981708033",Low,"['Network Intrusion Prevention', 'Filter Network Traffic']"
104,SIS-AI Server,T1568.003,DNS Calculation,command-and-control,Enterprise,"2,2211673","0,363636363",1,"0,8076971985865299",Low,[]
105,SIS-AI Server,T1204.002,Malicious File,execution,Enterprise,"1,83457659","0,64556691",1,"1,184341940364637",Low,"['User Training', 'Behavior Prevention on Endpoint', 'Execution Prevention']"
106,SIS-AI Server,T1204.001,Malicious Link,execution,Enterprise,"1,338161748","0,64556691","0,19999999999999996","0,1727745889473117",Low,"['Restrict Web-Based Content', 'Network Intrusion Prevention', 'User Training']"
107,SIS-AI Server,T1195.003,Compromise Hardware Supply Chain,initial-access,Enterprise,"0,9145983","0,363636363",1,"0,3325811994179829",Low,['Boot Integrity']
108,SIS-AI Server,T1195.002,Compromise Software Supply Chain,initial-access,Enterprise,"2,515145325","0,363636363","0,19999999999999996","0,18291965967989057",Low,"['Vulnerability Scanning', 'Update Software']"
109,SIS-AI Server,T1195.001,Compromise Software Dependencies and Development Tools,initial-access,Enterprise,"2,515145325","0,363636363","0,19999999999999996","0,18291965967989057",Low,"['Vulnerability Scanning', 'Update Software']"
110,SIS-AI Server,T1568.001,Fast Flux DNS,command-and-control,Enterprise,"2,2211673","0,363636363",1,"0,8076971985865299",Low,[]
111,SIS-AI Server,T1052.001,Exfiltration over USB,exfiltration,Enterprise,"0,9145983","0,583636363","0,19999999999999996","0,10675856508359656",Low,"['Limit Hardware Installation', 'Disable or Remove Feature or Program', 'Data Loss Prevention']"
112,SIS-AI Server,T1569,System Services,execution,Enterprise,"2,83525473","0,64556691",1,"1,8303466351089843",Low,"['Restrict File and Directory Permissions', 'Behavior Prevention on Endpoint', 'User Account Management', 'Privileged Account Management']"
113,SIS-AI Server,T1568.002,Domain Generation Algorithms,command-and-control,Enterprise,"1,62014556","0,363636363","0,19999999999999996","0,11782876779379965",Low,"['Restrict Web-Based Content', 'Network Intrusion Prevention']"
114,SIS-AI Server,T1568,Dynamic Resolution,command-and-control,Enterprise,"1,62014556","0,363636363","0,19999999999999996","0,11782876779379965",Low,"['Restrict Web-Based Content', 'Network Intrusion Prevention']"
115,SIS-AI Server,T1011.001,Exfiltration Over Bluetooth,exfiltration,Enterprise,"1,4372259","0,583636363","0,4","0,33552691883416075",Low,"['Disable or Remove Feature or Program', 'Operating System Configuration']"
116,SIS-AI Server,T1567.002,Exfiltration to Cloud Storage,exfiltration,Enterprise,"1,4372259","0,583636363",1,"0,8388172970854018",Low,['Restrict Web-Based Content']
117,SIS-AI Server,T1567.001,Exfiltration to Code Repository,exfiltration,Enterprise,"1,4372259","0,583636363",1,"0,8388172970854018",Low,['Restrict Web-Based Content']
118,SIS-AI Server,T1059.006,Python,execution,Enterprise,"0,798928515","0,64556691","0,4","0,20630472509577547",Low,"['Limit Software Installation', 'Audit', 'Antivirus/Antimalware', 'Execution Prevention']"
119,SIS-AI Server,T1059.005,Visual Basic,execution,Enterprise,"2,515145325","0,64556691","0,4","0,6494778382644784",Low,"['Restrict Web-Based Content', 'Disable or Remove Feature or Program', 'Antivirus/Antimalware', 'Execution Prevention', 'Behavior Prevention on Endpoint']"
120,SIS-AI Server,T1059.004,Unix Shell,execution,Enterprise,"2,83525473","0,64556691",1,"1,8303466351089843",Low,['Execution Prevention']
121,SIS-AI Server,T1567,Exfiltration Over Web Service,exfiltration,Enterprise,"1,4372259","0,583636363",1,"0,8388172970854018",Low,"['Restrict Web-Based Content', 'Data Loss Prevention']"
122,SIS-AI Server,T1497.003,Time Based Evasion,defense-evasion,Enterprise,"1,4372259","0,19596527399999997",1,"0,28164636729339654",Low,[]
123,SIS-AI Server,T1497.003,Time Based Evasion,discovery,Enterprise,"1,4372259","0,363636363",1,"0,5226275990854018",Low,[]
124,SIS-AI Server,T1497.002,User Activity Based Checks,defense-evasion,Enterprise,"1,4372259","0,19596527399999997",1,"0,28164636729339654",Low,[]
125,SIS-AI Server,T1497.002,User Activity Based Checks,discovery,Enterprise,"1,4372259","0,363636363",1,"0,5226275990854018",Low,[]
126,SIS-AI Server,T1497.001,System Checks,defense-evasion,Enterprise,"1,4372259","0,19596527399999997",1,"0,28164636729339654",Low,[]
127,SIS-AI Server,T1497.001,System Checks,discovery,Enterprise,"1,4372259","0,363636363",1,"0,5226275990854018",Low,[]
128,SIS-AI Server,T1498.002,Reflection Amplification,impact,Enterprise,"3,887042775","0,281930547",1,"1,0958760957681477",Low,['Filter Network Traffic']
129,SIS-AI Server,T1498.001,Direct Network Flood,impact,Enterprise,"3,887042775","0,281930547",1,"1,0958760957681477",Low,['Filter Network Traffic']
130,SIS-AI Server,T1566.003,Spearphishing via Service,initial-access,Enterprise,"2,83525473","0,363636363","0,5","0,5155008590978735",Low,"['Restrict Web-Based Content', 'User Training', 'Antivirus/Antimalware']"
131,SIS-AI Server,T1566.002,Spearphishing Link,initial-access,Enterprise,"2,83525473","0,363636363","0,4","0,4124006872782988",Low,"['Restrict Web-Based Content', 'User Account Management', 'Software Configuration', 'Audit', 'User Training']"
132,SIS-AI Server,T1566.001,Spearphishing Attachment,initial-access,Enterprise,"1,83457659","0,363636363","0,19999999999999996","0,13342375176650842",Low,"['Restrict Web-Based Content', 'Software Configuration', 'Antivirus/Antimalware', 'Network Intrusion Prevention', 'User Training']"
133,SIS-AI Server,T1566,Phishing,initial-access,Enterprise,"1,83457659","0,363636363","0,19999999999999996","0,13342375176650842",Low,"['Restrict Web-Based Content', 'Software Configuration', 'Antivirus/Antimalware', 'Network Intrusion Prevention', 'User Training']"
134,SIS-AI Server,T1565.003,Runtime Data Manipulation,impact,Enterprise,"1,04832948","0,501930547","0,19999999999999996","0,1052377178665251",Low,"['Restrict File and Directory Permissions', 'Network Segmentation']"
135,SIS-AI Server,T1565.002,Transmitted Data Manipulation,impact,Enterprise,"1,4372259","0,501930547",1,"0,7213875821495672",Low,['Encrypt Sensitive Information']
136,SIS-AI Server,T1565.001,Stored Data Manipulation,impact,Enterprise,"2,515145325","0,501930547",1,"1,2624282687617427",Low,"['Encrypt Sensitive Information', 'Remote Data Storage', 'Restrict File and Directory Permissions']"
137,SIS-AI Server,T1565,Data Manipulation,impact,Enterprise,"1,4372259","0,501930547","0,19999999999999996","0,1442775164299134",Low,"['Encrypt Sensitive Information', 'Remote Data Storage', 'Restrict File and Directory Permissions', 'Network Segmentation']"
138,SIS-AI Server,T1564.001,Hidden Files and Directories,defense-evasion,Enterprise,"1,83457659","0,19596527399999997",1,"0,3595133041333356",Low,[]
139,SIS-AI Server,T1564,Hide Artifacts,defense-evasion,Enterprise,"1,4372259","0,19596527399999997",1,"0,28164636729339654",Low,[]
140,SIS-AI Server,T1563.001,SSH Hijacking,lateral-movement,Enterprise,"0,798928515","0,363636363","0,30000000000000004","0,08715583784747728",Low,"['Password Policies', 'Restrict File and Directory Permissions', 'Disable or Remove Feature or Program', 'Privileged Account Management']"
141,SIS-AI Server,T1563,Remote Service Session Hijacking,lateral-movement,Enterprise,"0,45653058","0,363636363","0,19999999999999996","0,0332022239418961",Low,"['Network Segmentation', 'User Account Management', 'Disable or Remove Feature or Program', 'Privileged Account Management']"
142,SIS-AI Server,T1518.001,Security Software Discovery,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,[]
143,SIS-AI Server,T1069.002,Domain Groups,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,[]
144,SIS-AI Server,T1087.002,Domain Account,discovery,Enterprise,"2,515145325","0,363636363","0,19999999999999996","0,18291965967989057",Low,"['Multi-factor Authentication', 'Network Segmentation', 'Operating System Configuration', 'Privileged Account Management']"
145,SIS-AI Server,T1087.001,Local Account,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,"['Multi-factor Authentication', 'Operating System Configuration', 'Privileged Account Management']"
146,SIS-AI Server,T1553.004,Install Root Certificate,defense-evasion,Enterprise,"1,83457659","0,19596527399999997",1,"0,3595133041333356",Low,"['Software Configuration', 'Operating System Configuration']"
147,SIS-AI Server,T1562.004,Disable or Modify System Firewall,defense-evasion,Enterprise,"2,515145325","0,19596527399999997","0,4","0,19715245710537763",Low,"['Audit', 'Restrict File and Directory Permissions', 'User Account Management', 'Restrict Registry Permissions']"
