rel_number;matrix;Technique;Mitigation;Efficiency
75;ICS;Change Credential;Password Policies;7
76;ICS;Exploit Public-Facing Application;Application Isolation and Sandboxing;5
77;ICS;Default Credentials;Password Policies;7
78;ICS;Remote Services;Password Policies;7
79;ICS;Change Credential;Redundancy of Service;8
80;ICS;Change Operating Mode;Authorization Enforcement;7
81;ICS;External Remote Services;Network Segmentation;8
82;ICS;Remote Services;Network Segmentation;8
83;ICS;Exploitation for Privilege Escalation;Application Isolation and Sandboxing;5
84;ICS;Exploitation for Privilege Escalation;Exploit Protection;6
85;ICS;Data from Information Repositories;User Training;8
86;ICS;Wireless Compromise;Minimize Wireless Signal Propagation;5
87;ICS;Damage to Property;Network Allowlists;5
88;ICS;Data from Local System;Encrypt Sensitive Information;5
89;ICS;Block Reporting Message;Network Allowlists;5
90;ICS;Modify Parameter;Validate Program Inputs;6
91;ICS;Exploitation of Remote Services;Network Segmentation;8
92;ICS;Program Upload;Communication Authenticity;7
93;ICS;Hooking;Audit;6
94;ICS;Program Download;Network Segmentation;8
95;ICS;Modify Alarm Settings;Network Allowlists;5
96;ICS;Alarm Suppression;Out-of-Band Communications Channel;5
97;ICS;Module Firmware;Network Segmentation;8
98;ICS;Modify Alarm Settings;User Account Management;8
99;ICS;Scripting;Application Isolation and Sandboxing;5
100;ICS;Loss of Availability;Data Backup;6
101;ICS;External Remote Services;User Account Management;8
102;ICS;Masquerading;Execution Prevention;6
103;ICS;Command-Line Interface;Disable or Remove Feature or Program;6
104;ICS;Spearphishing Attachment;User Training;8
105;ICS;Exploitation of Remote Services;Vulnerability Scanning;8
106;ICS;Adversary-in-the-Middle;Static Network Configuration;6
107;ICS;Program Upload;Filter Network Traffic;7
108;ICS;Modify Program;Audit;6
109;ICS;Activate Firmware Update Mode;Authorization Enforcement;7
110;ICS;System Firmware;Human User Authentication;8
111;ICS;Project File Infection;Code Signing;5
112;ICS;Exploitation of Remote Services;Threat Intelligence Program;8
113;ICS;Data from Information Repositories;Encrypt Sensitive Information;5
114;ICS;Block Serial COM;Network Allowlists;5
115;ICS;Transient Cyber Asset;Update Software;8
116;ICS;System Firmware;Network Allowlists;5
117;ICS;Spoof Reporting Message;Network Allowlists;5
118;ICS;Masquerading;Code Signing;5
119;ICS;Spoof Reporting Message;Software Process and Device Authentication;7
120;ICS;Exploit Public-Facing Application;Vulnerability Scanning;8
121;ICS;Valid Accounts;Filter Network Traffic;7
122;ICS;Connection Proxy;Network Allowlists;5
123;ICS;Change Credential;Data Backup;6
124;ICS;Device Restart/Shutdown;Network Segmentation;8
125;ICS;Manipulate I/O Image;Mitigation Limited or Not Effective;5
126;ICS;Supply Chain Compromise;Code Signing;5
127;ICS;Supply Chain Compromise;Vulnerability Scanning;8
128;ICS;Rogue Master;Network Segmentation;8
129;ICS;Denial of Control;Out-of-Band Communications Channel;5
130;ICS;Valid Accounts;Password Policies;7
131;ICS;Network Connection Enumeration;Mitigation Limited or Not Effective;5
132;ICS;Data from Information Repositories;Restrict File and Directory Permissions;6
133;ICS;Adversary-in-the-Middle;Audit;6
134;ICS;Module Firmware;Human User Authentication;8
135;ICS;External Remote Services;Limit Access to Resource Over Network;6
136;ICS;Valid Accounts;Active Directory Configuration;5
137;ICS;Project File Infection;Restrict File and Directory Permissions;6
138;ICS;Manipulation of Control;Out-of-Band Communications Channel;5
139;ICS;Program Upload;Human User Authentication;8
140;ICS;Brute Force I/O;Network Segmentation;8
141;ICS;Block Command Message;Network Allowlists;5
142;ICS;Program Download;Communication Authenticity;7
143;ICS;Modify Alarm Settings;Network Segmentation;8
144;ICS;Alarm Suppression;Network Segmentation;8
145;ICS;Lateral Tool Transfer;Network Intrusion Prevention;8
146;ICS;Data from Information Repositories;User Account Management;8
147;ICS;Module Firmware;Encrypt Sensitive Information;5
148;ICS;Spoof Reporting Message;Network Segmentation;8
149;ICS;Replication Through Removable Media;Limit Hardware Installation;8
150;ICS;Device Restart/Shutdown;Access Management;8
151;ICS;Masquerading;Restrict File and Directory Permissions;6
152;ICS;Detect Operating Mode;Human User Authentication;8
153;ICS;Denial of Control;Data Backup;6
154;ICS;Program Upload;Network Allowlists;5
155;ICS;Transient Cyber Asset;Network Segmentation;8
156;ICS;Monitor Process State;Mitigation Limited or Not Effective;5
157;ICS;Remote System Discovery;Static Network Configuration;6
158;ICS;Replication Through Removable Media;Operating System Configuration;7
159;ICS;Supply Chain Compromise;Update Software;8
160;ICS;Denial of Control;Redundancy of Service;8
161;ICS;Execution through API;Authorization Enforcement;7
162;ICS;Commonly Used Port;Human User Authentication;8
163;ICS;Transient Cyber Asset;Antivirus/Antimalware;5
164;ICS;Rogue Master;Filter Network Traffic;7
165;ICS;Denial of View;Redundancy of Service;8
166;ICS;I/O Image;Mitigation Limited or Not Effective;5
167;ICS;Module Firmware;Boot Integrity;6
168;ICS;Unauthorized Command Message;Filter Network Traffic;7
169;ICS;Exploit Public-Facing Application;Update Software;8
170;ICS;User Execution;Code Signing;5
171;ICS;Program Download;Code Signing;5
172;ICS;Drive-by Compromise;Exploit Protection;6
173;ICS;Replication Through Removable Media;Disable or Remove Feature or Program;6
174;ICS;External Remote Services;Password Policies;7
175;ICS;Module Firmware;Code Signing;5
176;ICS;Change Operating Mode;Software Process and Device Authentication;7
177;ICS;Modify Alarm Settings;Access Management;8
178;ICS;Rogue Master;Communication Authenticity;7
179;ICS;Wireless Sniffing;Minimize Wireless Signal Propagation;5
180;ICS;Remote Services;User Account Management;8
181;ICS;Device Restart/Shutdown;Disable or Remove Feature or Program;6
182;ICS;Network Sniffing;Static Network Configuration;6
183;ICS;Scripting;Disable or Remove Feature or Program;6
184;ICS;Spearphishing Attachment;Antivirus/Antimalware;5
185;ICS;Commonly Used Port;Disable or Remove Feature or Program;6
186;ICS;Graphical User Interface;Mitigation Limited or Not Effective;5
187;ICS;Rootkit;Audit;6
188;ICS;Change Operating Mode;Access Management;8
189;ICS;Module Firmware;Software Process and Device Authentication;7
190;ICS;Unauthorized Command Message;Validate Program Inputs;6
191;ICS;Device Restart/Shutdown;Software Process and Device Authentication;7
192;ICS;Internet Accessible Device;Network Segmentation;8
193;ICS;Valid Accounts;Access Management;8
194;ICS;Unauthorized Command Message;Communication Authenticity;7
195;ICS;Theft of Operational Information;Restrict File and Directory Permissions;6
196;ICS;Program Download;Software Process and Device Authentication;7
197;ICS;Module Firmware;Network Allowlists;5
198;ICS;Program Download;Human User Authentication;8
199;ICS;Module Firmware;Communication Authenticity;7
200;ICS;Connection Proxy;Filter Network Traffic;7
201;ICS;Transient Cyber Asset;Audit;6
202;ICS;Manipulation of View;Out-of-Band Communications Channel;5
203;ICS;Transient Cyber Asset;Encrypt Sensitive Information;5
204;ICS;Program Upload;Network Segmentation;8
205;ICS;Exploitation of Remote Services;Update Software;8
206;ICS;Modify Parameter;Authorization Enforcement;7
207;ICS;User Execution;Restrict Web-Based Content;5
208;ICS;Activate Firmware Update Mode;Network Segmentation;8
209;ICS;Point & Tag Identification;Filter Network Traffic;7
210;ICS;Module Firmware;Access Management;8
211;ICS;Valid Accounts;Privileged Account Management;6
212;ICS;Exploitation of Remote Services;Disable or Remove Feature or Program;6
213;ICS;Execution through API;Human User Authentication;8
214;ICS;Point & Tag Identification;Human User Authentication;8
215;ICS;System Firmware;Code Signing;5
216;ICS;Remote Services;Authorization Enforcement;7
217;ICS;Denial of View;Out-of-Band Communications Channel;5
218;ICS;Exploit Public-Facing Application;Exploit Protection;6
219;ICS;Valid Accounts;Audit;6
220;ICS;Modify Controller Tasking;Audit;6
221;ICS;Device Restart/Shutdown;Human User Authentication;8
222;ICS;Program Download;Filter Network Traffic;7
223;ICS;User Execution;Execution Prevention;6
224;ICS;Point & Tag Identification;Authorization Enforcement;7
225;ICS;Data Destruction;Privileged Account Management;6
226;ICS;Connection Proxy;Network Intrusion Prevention;8
227;ICS;Module Firmware;Audit;6
228;ICS;Remote Services;Filter Network Traffic;7
229;ICS;Device Restart/Shutdown;Communication Authenticity;7
230;ICS;Loss of View;Redundancy of Service;8
231;ICS;Data Destruction;Data Backup;6
232;ICS;Valid Accounts;Account Use Policies;5
233;ICS;Loss of Productivity and Revenue;Data Backup;6
234;ICS;Modify Alarm Settings;Human User Authentication;8
235;ICS;Exploitation of Remote Services;Exploit Protection;6
236;ICS;Exploitation for Privilege Escalation;Update Software;8
237;ICS;User Execution;Network Intrusion Prevention;8
238;ICS;User Execution;Antivirus/Antimalware;5
239;ICS;Activate Firmware Update Mode;Human User Authentication;8
240;ICS;Exploitation for Privilege Escalation;Threat Intelligence Program;8
241;ICS;Connection Proxy;SSL/TLS Inspection;8
242;ICS;Loss of View;Out-of-Band Communications Channel;5
243;ICS;Service Stop;Restrict Registry Permissions;5
244;ICS;Wireless Compromise;Encrypt Network Traffic;5
245;ICS;Module Firmware;Filter Network Traffic;7
246;ICS;Standard Application Layer Protocol;Network Allowlists;5
247;ICS;Detect Operating Mode;Filter Network Traffic;7
248;ICS;Loss of Control;Out-of-Band Communications Channel;5
249;ICS;Automated Collection;Network Allowlists;5
250;ICS;Denial of Service;Watchdog Timers;8
251;ICS;Detect Operating Mode;Network Allowlists;5
252;ICS;Remote Services;Software Process and Device Authentication;7
253;ICS;Block Command Message;Static Network Configuration;6
254;ICS;Adversary-in-the-Middle;Network Intrusion Prevention;8
255;ICS;Network Sniffing;Privileged Account Management;6
256;ICS;Service Stop;User Account Management;8
257;ICS;Brute Force I/O;Network Allowlists;5
258;ICS;Remote System Information Discovery;Static Network Configuration;6
259;ICS;Manipulation of Control;Communication Authenticity;7
260;ICS;System Firmware;Access Management;8
261;ICS;Device Restart/Shutdown;Filter Network Traffic;7
262;ICS;Adversary-in-the-Middle;Network Segmentation;8
263;ICS;Drive-by Compromise;Restrict Web-Based Content;5
264;ICS;Change Operating Mode;Communication Authenticity;7
265;ICS;Block Reporting Message;Out-of-Band Communications Channel;5
266;ICS;Theft of Operational Information;Encrypt Sensitive Information;5
267;ICS;Manipulation of View;Data Backup;6
268;ICS;Exploitation for Evasion;Exploit Protection;6
269;ICS;Spoof Reporting Message;Communication Authenticity;7
270;ICS;Activate Firmware Update Mode;Software Process and Device Authentication;7
271;ICS;Rogue Master;Software Process and Device Authentication;7
272;ICS;Standard Application Layer Protocol;Network Intrusion Prevention;8
273;ICS;Block Command Message;Out-of-Band Communications Channel;5
274;ICS;Adversary-in-the-Middle;Communication Authenticity;7
275;ICS;Remote Services;Access Management;8
276;ICS;Unauthorized Command Message;Network Allowlists;5
277;ICS;Wireless Compromise;Communication Authenticity;7
278;ICS;Detect Operating Mode;Communication Authenticity;7
279;ICS;Damage to Property;Mechanical Protection Layers;5
280;ICS;Change Operating Mode;Human User Authentication;8
281;ICS;Supply Chain Compromise;Supply Chain Management;6
282;ICS;Activate Firmware Update Mode;Filter Network Traffic;7
283;ICS;Drive-by Compromise;Application Isolation and Sandboxing;5
284;ICS;Modify Program;Code Signing;5
285;ICS;Spoof Reporting Message;Filter Network Traffic;7
286;ICS;Indicator Removal on Host;Restrict File and Directory Permissions;6
287;ICS;Exploit Public-Facing Application;Privileged Account Management;6
288;ICS;Spearphishing Attachment;Network Intrusion Prevention;8
289;ICS;Network Sniffing;Network Segmentation;8
290;ICS;Point & Tag Identification;Network Allowlists;5
291;ICS;Point & Tag Identification;Software Process and Device Authentication;7
292;ICS;Remote Services;Network Allowlists;5
293;ICS;Change Operating Mode;Network Segmentation;8
294;ICS;Detect Operating Mode;Access Management;8
295;ICS;Device Restart/Shutdown;Network Allowlists;5
296;ICS;Data from Local System;Data Loss Prevention;5
297;ICS;System Firmware;Encrypt Sensitive Information;5
298;ICS;Data from Local System;Restrict File and Directory Permissions;6
299;ICS;Detect Operating Mode;Authorization Enforcement;7
300;ICS;Service Stop;Network Segmentation;8
301;ICS;System Firmware;Software Process and Device Authentication;7
302;ICS;Point & Tag Identification;Network Segmentation;8
303;ICS;Hooking;Restrict Library Loading;6
304;ICS;Module Firmware;Encrypt Network Traffic;5
305;ICS;Wireless Compromise;Software Process and Device Authentication;7
306;ICS;Exploitation for Evasion;Threat Intelligence Program;8
307;ICS;Point & Tag Identification;Communication Authenticity;7
308;ICS;Device Restart/Shutdown;Authorization Enforcement;7
309;ICS;Project File Infection;Audit;6
310;ICS;Remote Services;Human User Authentication;8
311;ICS;Adversary-in-the-Middle;Out-of-Band Communications Channel;5
312;ICS;Damage to Property;Safety Instrumented Systems;7
313;ICS;Rootkit;Code Signing;5
314;ICS;System Firmware;Communication Authenticity;7
315;ICS;Modify Alarm Settings;Authorization Enforcement;7
316;ICS;Program Upload;Software Process and Device Authentication;7
317;ICS;Change Operating Mode;Network Allowlists;5
318;ICS;Valid Accounts;Application Developer Guidance;5
319;ICS;System Firmware;Update Software;8
320;ICS;Detect Operating Mode;Network Segmentation;8
321;ICS;System Firmware;Audit;6
322;ICS;Rogue Master;Network Allowlists;5
323;ICS;Loss of Availability;Redundancy of Service;8
324;ICS;Brute Force I/O;Filter Network Traffic;7
1;Mobile;Disable or Modify Tools;Deploy Compromised Device Detection Method;5
2;Mobile;Input Injection;User Guidance;8
3;Mobile;Uninstall Malicious Application;Attestation;5
4;Mobile;Hooking;Deploy Compromised Device Detection Method;5
5;Mobile;Calendar Entries;User Guidance;8
6;Mobile;SMS Messages;User Guidance;8
7;Mobile;Input Capture;User Guidance;8
8;Mobile;Impair Defenses;Security Updates;8
9;Mobile;Unix Shell;Deploy Compromised Device Detection Method;5
10;Mobile;Indicator Removal on Host;Security Updates;8
11;Mobile;Exploitation of Remote Services;Enterprise Policy;8
12;Mobile;Input Injection;Enterprise Policy;8
13;Mobile;Subvert Trust Controls;Enterprise Policy;8
14;Mobile;Indicator Removal on Host;Attestation;5
15;Mobile;Audio Capture;User Guidance;8
16;Mobile;Security Software Discovery;Use Recent OS Version;5
17;Mobile;Keychain;Attestation;5
18;Mobile;Prevent Application Removal;Use Recent OS Version;5
19;Mobile;Code Signing Policy Modification;Use Recent OS Version;5
20;Mobile;Compromise Software Dependencies and Development Tools;Application Developer Guidance;5
21;Mobile;Exploitation for Privilege Escalation;Deploy Compromised Device Detection Method;5
22;Mobile;Replication Through Removable Media;Use Recent OS Version;5
23;Mobile;Stored Application Data;Use Recent OS Version;5
24;Mobile;Code Signing Policy Modification;User Guidance;8
25;Mobile;Boot or Logon Initialization Scripts;Attestation;5
26;Mobile;Device Administrator Permissions;User Guidance;8
27;Mobile;Compromise Application Executable;Use Recent OS Version;5
28;Mobile;Clipboard Data;Use Recent OS Version;5
29;Mobile;Protected User Data;Use Recent OS Version;5
30;Mobile;Command and Scripting Interpreter;Deploy Compromised Device Detection Method;5
31;Mobile;Process Discovery;Attestation;5
32;Mobile;Supply Chain Compromise;Application Developer Guidance;5
33;Mobile;Screen Capture;Enterprise Policy;8
34;Mobile;Out of Band Data;User Guidance;8
35;Mobile;Execution Guardrails;User Guidance;8
36;Mobile;Suppress Application Icon;Use Recent OS Version;5
37;Mobile;Contact List;User Guidance;8
38;Mobile;Call Control;User Guidance;8
39;Mobile;Impair Defenses;User Guidance;8
40;Mobile;Boot or Logon Initialization Scripts;Security Updates;8
41;Mobile;System Runtime API Hijacking;Attestation;5
42;Mobile;GUI Input Capture;Use Recent OS Version;5
43;Mobile;Input Capture;Enterprise Policy;8
44;Mobile;User Evasion;Deploy Compromised Device Detection Method;5
45;Mobile;Event Triggered Execution;Use Recent OS Version;5
46;Mobile;Keylogging;User Guidance;8
47;Mobile;Unix Shell;Attestation;5
48;Mobile;Video Capture;Use Recent OS Version;5
49;Mobile;Screen Capture;User Guidance;8
50;Mobile;Keychain;Deploy Compromised Device Detection Method;5
51;Mobile;Credentials from Password Store;Deploy Compromised Device Detection Method;5
52;Mobile;Location Tracking;User Guidance;8
53;Mobile;Software Discovery;User Guidance;8
54;Mobile;Broadcast Receivers;Use Recent OS Version;5
55;Mobile;Credentials from Password Store;Security Updates;8
56;Mobile;Device Lockout;Use Recent OS Version;5
57;Mobile;Prevent Application Removal;User Guidance;8
58;Mobile;Prevent Application Removal;Enterprise Policy;8
59;Mobile;Replication Through Removable Media;Enterprise Policy;8
60;Mobile;Disable or Modify Tools;User Guidance;8
61;Mobile;Boot or Logon Initialization Scripts;System Partition Integrity;6
62;Mobile;Security Software Discovery;User Guidance;8
63;Mobile;Impair Defenses;Enterprise Policy;8
64;Mobile;Execution Guardrails;Use Recent OS Version;5
65;Mobile;Impair Defenses;System Partition Integrity;6
66;Mobile;Hijack Execution Flow;Attestation;5
67;Mobile;Access Notifications;User Guidance;8
68;Mobile;Adversary-in-the-Middle;Encrypt Network Traffic;5
69;Mobile;Input Capture;Use Recent OS Version;5
70;Mobile;Disable or Modify Tools;System Partition Integrity;6
71;Mobile;SMS Control;User Guidance;8
72;Mobile;Boot or Logon Initialization Scripts;Lock Bootloader;5
73;Mobile;Impair Defenses;Deploy Compromised Device Detection Method;5
74;Mobile;URI Hijacking;User Guidance;8
75;Mobile;Call Log;User Guidance;8
76;Mobile;Location Tracking;Interconnection Filtering;5
77;Mobile;GUI Input Capture;Enterprise Policy;8
78;Mobile;File and Directory Discovery;Use Recent OS Version;5
79;Mobile;Subvert Trust Controls;Use Recent OS Version;5
80;Mobile;Steal Application Access Token;User Guidance;8
81;Mobile;Compromise Software Supply Chain;Security Updates;8
82;Mobile;Access Notifications;Enterprise Policy;8
83;Mobile;Download New Code at Runtime;Use Recent OS Version;5
84;Mobile;Compromise Client Software Binary;Attestation;5
85;Mobile;Endpoint Denial of Service;Use Recent OS Version;5
86;Mobile;Replication Through Removable Media;User Guidance;8
87;Mobile;Abuse Elevation Control Mechanism;Application Developer Guidance;5
88;Mobile;Account Access Removal;User Guidance;8
89;Mobile;System Runtime API Hijacking;System Partition Integrity;6
90;Mobile;Compromise Software Supply Chain;System Partition Integrity;6
91;Mobile;Code Signing Policy Modification;Enterprise Policy;8
92;Mobile;Compromise Client Software Binary;Lock Bootloader;5
93;Mobile;Subvert Trust Controls;User Guidance;8
94;Mobile;Protected User Data;User Guidance;8
95;Mobile;Exploitation for Privilege Escalation;Attestation;5
96;Mobile;Device Administrator Permissions;Use Recent OS Version;5
97;Mobile;Data Manipulation;Use Recent OS Version;5
98;Mobile;Screen Capture;Application Developer Guidance;5
99;Mobile;Uninstall Malicious Application;User Guidance;8
100;Mobile;Hijack Execution Flow;System Partition Integrity;6
101;Mobile;Drive-By Compromise;Security Updates;8
102;Mobile;Supply Chain Compromise;Security Updates;8
103;Mobile;URI Hijacking;Use Recent OS Version;5
104;Mobile;Impersonate SS7 Nodes;Interconnection Filtering;5
105;Mobile;Steal Application Access Token;Application Developer Guidance;5
106;Mobile;Keychain;Security Updates;8
107;Mobile;Exploitation for Privilege Escalation;Security Updates;8
108;Mobile;Location Tracking;Use Recent OS Version;5
109;Mobile;Geofencing;User Guidance;8
110;Mobile;Replication Through Removable Media;Security Updates;8
111;Mobile;Audio Capture;Use Recent OS Version;5
112;Mobile;Lockscreen Bypass;Security Updates;8
113;Mobile;Indicator Removal on Host;User Guidance;8
114;Mobile;Access Notifications;Application Developer Guidance;5
115;Mobile;Adversary-in-the-Middle;Use Recent OS Version;5
116;Mobile;Credentials from Password Store;Attestation;5
117;Mobile;Compromise Client Software Binary;System Partition Integrity;6
118;Mobile;Lockscreen Bypass;Enterprise Policy;8
119;Mobile;Endpoint Denial of Service;User Guidance;8
120;Mobile;Steal Application Access Token;Use Recent OS Version;5
121;Mobile;Disable or Modify Tools;Security Updates;8
122;Mobile;Foreground Persistence;User Guidance;8
123;Mobile;Hooking;Attestation;5
124;Mobile;Compromise Hardware Supply Chain;Security Updates;8
125;Mobile;Process Discovery;Use Recent OS Version;5
126;Mobile;Replication Through Removable Media;Lock Bootloader;5
127;Mobile;Transmitted Data Manipulation;Use Recent OS Version;5
128;Mobile;URI Hijacking;Application Developer Guidance;5
129;Mobile;Remote Device Management Services;Enterprise Policy;8
130;Mobile;File Deletion;User Guidance;8
131;Mobile;Compromise Client Software Binary;Security Updates;8
132;Mobile;Location Tracking;Enterprise Policy;8
133;Mobile;Suppress Application Icon;User Guidance;8
134;Mobile;Generate Traffic from Victim;User Guidance;8
135;Mobile;Uninstall Malicious Application;Security Updates;8
136;Mobile;System Network Configuration Discovery;Use Recent OS Version;5
137;Mobile;Remote Device Management Services;User Guidance;8
138;Mobile;Command and Scripting Interpreter;Attestation;5
139;Mobile;Geofencing;Use Recent OS Version;5
140;Mobile;Compromise Application Executable;Security Updates;8
141;Mobile;Software Discovery;Use Recent OS Version;5
142;Mobile;Keylogging;Enterprise Policy;8
1;Enterprise;Exploitation for Defense Evasion;Application Isolation and Sandboxing;5
2;Enterprise;Match Legitimate Name or Location;Restrict File and Directory Permissions;6
3;Enterprise;Compromise Software Dependencies and Development Tools;Vulnerability Scanning;8
4;Enterprise;Silver Ticket;Password Policies;7
5;Enterprise;Chat Messages;Audit;6
6;Enterprise;LSA Secrets;Password Policies;7
7;Enterprise;Setuid and Setgid;Operating System Configuration;7
8;Enterprise;Network Device Configuration Dump;Network Segmentation;8
9;Enterprise;Dynamic Data Exchange;Disable or Remove Feature or Program;6
10;Enterprise;Adversary-in-the-Middle;User Training;8
11;Enterprise;OS Credential Dumping;Privileged Account Management;6
12;Enterprise;Network Address Translation Traversal;Filter Network Traffic;7
13;Enterprise;Asymmetric Cryptography;Network Intrusion Prevention;8
14;Enterprise;Account Manipulation;Network Segmentation;8
15;Enterprise;Data from Cloud Storage;Restrict File and Directory Permissions;6
16;Enterprise;Data Obfuscation;Network Intrusion Prevention;8
17;Enterprise;Native API;Behavior Prevention on Endpoint;5
18;Enterprise;Pass the Ticket;Password Policies;7
19;Enterprise;Screensaver;Disable or Remove Feature or Program;6
20;Enterprise;Server Software Component;Privileged Account Management;6
21;Enterprise;Login Hook;Restrict File and Directory Permissions;6
22;Enterprise;Default Accounts;Password Policies;7
23;Enterprise;Services File Permissions Weakness;Audit;6
24;Enterprise;Firmware Corruption;Update Software;8
25;Enterprise;Password Policy Discovery;Password Policies;7
26;Enterprise;User Execution;User Training;8
27;Enterprise;Chat Messages;User Training;8
28;Enterprise;Patch System Image;Multi-factor Authentication;8
29;Enterprise;Emond;Disable or Remove Feature or Program;6
30;Enterprise;Exploitation for Credential Access;Update Software;8
31;Enterprise;Spoof Security Alerting;Execution Prevention;6
32;Enterprise;Drive-by Compromise;Update Software;8
33;Enterprise;Password Guessing;Multi-factor Authentication;8
34;Enterprise;Establish Accounts;Pre-compromise;5
35;Enterprise;Domain Account;Privileged Account Management;6
36;Enterprise;Password Managers;Update Software;8
37;Enterprise;SSH;Disable or Remove Feature or Program;6
38;Enterprise;MMC;Disable or Remove Feature or Program;6
39;Enterprise;Masquerade File Type;Execution Prevention;6
40;Enterprise;Create or Modify System Process;Restrict File and Directory Permissions;6
41;Enterprise;Sudo and Sudo Caching;Operating System Configuration;7
42;Enterprise;Ingress Tool Transfer;Network Intrusion Prevention;8
43;Enterprise;Data Destruction;Data Backup;6
44;Enterprise;Inhibit System Recovery;Data Backup;6
45;Enterprise;Port Knocking;Filter Network Traffic;7
46;Enterprise;Transfer Data to Cloud Account;Password Policies;7
47;Enterprise;Forge Web Credentials;Software Configuration;8
48;Enterprise;Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Data Loss Prevention;5
49;Enterprise;MSBuild;Execution Prevention;6
50;Enterprise;Software Deployment Tools;Network Segmentation;8
51;Enterprise;Credential Stuffing;User Account Management;8
52;Enterprise;Exploitation for Privilege Escalation;Threat Intelligence Program;8
53;Enterprise;Modify Authentication Process;Restrict File and Directory Permissions;6
54;Enterprise;Modify Authentication Process;Multi-factor Authentication;8
55;Enterprise;User Execution;Execution Prevention;6
56;Enterprise;External Remote Services;Network Segmentation;8
57;Enterprise;NTDS;User Training;8
58;Enterprise;Software Deployment Tools;Update Software;8
59;Enterprise;Run Virtual Instance;Execution Prevention;6
60;Enterprise;Visual Basic;Restrict Web-Based Content;5
