LocalID;Matrix;MITREID;Name;Tactics;Platforms;Technologies;Additions;PR;AV;AC;UI;CVSS
46;Enterprise;T1547.015;Login Items;['persistence', 'privilege-escalation'];['macOS'];;;0,62;0,55;0,77;0,85;1,83457659
47;Enterprise;T1620;Reflective Code Loading;['defense-evasion'];['macOS', 'Linux', 'Windows'];;;0,85;0,55;0,44;0,85;1,4372259
48;Enterprise;T1619;Cloud Storage Object Discovery;['discovery'];['IaaS'];;;0,85;0,85;0,77;0,85;3,887042775
49;Enterprise;T1218.014;MMC;['defense-evasion'];['Windows'];;;0,85;0,55;0,77;0,85;2,515145325
50;Enterprise;T1218.013;Mavinject;['defense-evasion'];['Windows'];;;0,85;0,55;0,44;0,85;1,4372259
51;Enterprise;T1614.001;System Language Discovery;['discovery'];['Windows', 'Linux', 'macOS'];;;0,62;0,55;0,77;0,85;1,83457659
52;Enterprise;T1615;Group Policy Discovery;['discovery'];['Windows'];;;0,85;0,55;0,77;0,85;2,515145325
53;Enterprise;T1036.007;Double File Extension;['defense-evasion'];['Windows'];;;0,85;0,55;0,77;0,62;1,83457659
54;Enterprise;T1562.009;Safe Mode Boot;['defense-evasion'];['Windows'];;;0,27;0,55;0,44;0,85;0,45653058
55;Enterprise;T1564.008;Email Hiding Rules;['defense-evasion'];['Windows', 'Office 365', 'Linux', 'macOS', 'Google Workspace'];;;0,85;0,55;0,77;0,85;2,515145325
56;Enterprise;T1505.004;IIS Components;['persistence'];['Windows'];;;0,27;0,55;0,77;0,85;0,798928515
57;Enterprise;T1027.006;HTML Smuggling;['defense-evasion'];['Windows', 'Linux', 'macOS'];;;0,85;0,55;0,77;0,85;2,515145325
58;Enterprise;T1213.003;Code Repositories;['collection'];['SaaS'];;;0,85;0,85;0,77;0,85;3,887042775
59;Enterprise;T1553.006;Code Signing Policy Modification;['defense-evasion'];['Windows', 'macOS'];;;0,85;0,55;0,44;0,85;1,4372259
60;Enterprise;T1614;System Location Discovery;['discovery'];['Windows', 'Linux', 'macOS', 'IaaS'];;;0,62;0,55;0,77;0,85;1,83457659
61;Enterprise;T1613;Container and Resource Discovery;['discovery'];['Containers'];;;0,85;0,85;0,77;0,85;3,887042775
62;Enterprise;T1552.007;Container API;['credential-access'];['Containers'];;;0,85;0,55;0,77;0,85;2,515145325
63;Enterprise;T1612;Build Image on Host;['defense-evasion'];['Containers'];;;0,85;0,85;0,77;0,85;3,887042775
64;Enterprise;T1611;Escape to Host;['privilege-escalation'];['Windows', 'Linux', 'Containers'];;;0,62;0,55;0,77;0,85;1,83457659
65;Enterprise;T1204.003;Malicious Image;['execution'];['IaaS', 'Containers'];;;0,62;0,55;0,77;0,62;1,338161748
66;Enterprise;T1053.007;Container Orchestration Job;['execution', 'persistence', 'privilege-escalation'];['Containers'];;;0,62;0,85;0,77;0,85;2,83525473
67;Enterprise;T1610;Deploy Container;['defense-evasion', 'execution'];['Containers'];;;0,85;0,85;0,77;0,85;3,887042775
68;Enterprise;T1609;Container Administration Command;['execution'];['Containers'];;;0,85;0,85;0,77;0,85;3,887042775
69;Enterprise;T1608.005;Link Target;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
70;Enterprise;T1608.004;Drive-by Target;['resource-development'];['PRE'];;;0,85;0,85;0,44;0,85;2,2211673
71;Enterprise;T1608.003;Install Digital Certificate;['resource-development'];['PRE'];;;0,85;0,85;0,44;0,85;2,2211673
72;Enterprise;T1608.002;Upload Tool;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
73;Enterprise;T1608.001;Upload Malware;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
74;Enterprise;T1608;Stage Capabilities;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
75;Enterprise;T1016.001;Internet Connection Discovery;['discovery'];['Windows', 'Linux', 'macOS'];;;0,62;0,55;0,77;0,85;1,83457659
76;Enterprise;T1553.005;Mark-of-the-Web Bypass;['defense-evasion'];['Windows'];;;0,85;0,55;0,77;0,85;2,515145325
77;Enterprise;T1555.005;Password Managers;['credential-access'];['Linux', 'macOS', 'Windows'];;;0,62;0,55;0,44;0,85;1,04832948
78;Enterprise;T1484.002;Domain Trust Modification;['defense-evasion', 'privilege-escalation'];['Windows', 'Azure AD'];;;0,27;0,55;0,77;0,85;0,798928515
79;Enterprise;T1484.001;Group Policy Modification;['defense-evasion', 'privilege-escalation'];['Windows'];;;0,62;0,55;0,77;0,85;1,83457659
80;Enterprise;T1547.014;Active Setup;['persistence', 'privilege-escalation'];['Windows'];;;0,27;0,55;0,77;0,85;0,798928515
81;Enterprise;T1606.002;SAML Tokens;['credential-access'];['Azure AD', 'SaaS', 'Windows', 'Office 365', 'Google Workspace', 'IaaS'];;;0,27;0,55;0,44;0,85;0,45653058
82;Enterprise;T1606.001;Web Cookies;['credential-access'];['Linux', 'macOS', 'Windows', 'SaaS', 'IaaS'];;;0,85;0,85;0,44;0,85;2,2211673
83;Enterprise;T1606;Forge Web Credentials;['credential-access'];['SaaS', 'Windows', 'macOS', 'Linux', 'Azure AD', 'Office 365', 'Google Workspace', 'IaaS'];;;0,85;0,85;0,77;0,85;3,887042775
84;Enterprise;T1555.004;Windows Credential Manager;['credential-access'];['Windows'];;;0,85;0,55;0,77;0,85;2,515145325
85;Enterprise;T1059.008;Network Device CLI;['execution'];['Network'];;;0,85;0,85;0,77;0,85;3,887042775
86;Enterprise;T1602.002;Network Device Configuration Dump;['collection'];['Network'];;;0,27;0,85;0,77;0,85;1,234707705
87;Enterprise;T1542.005;TFTP Boot;['defense-evasion', 'persistence'];['Network'];;;0,27;0,55;0,77;0,85;0,798928515
88;Enterprise;T1542.004;ROMMONkit;['defense-evasion', 'persistence'];['Network'];;;0,27;0,55;0,77;0,85;0,798928515
89;Enterprise;T1602.001;SNMP (MIB Dump);['collection'];['Network'];;;0,27;0,85;0,77;0,85;1,234707705
90;Enterprise;T1602;Data from Configuration Repository;['collection'];['Network'];;;0,85;0,85;0,77;0,85;3,887042775
91;Enterprise;T1601.002;Downgrade System Image;['defense-evasion'];['Network'];;;0,27;0,55;0,77;0,85;0,798928515
92;Enterprise;T1601.001;Patch System Image;['defense-evasion'];['Network'];;;0,27;0,55;0,77;0,85;0,798928515
93;Enterprise;T1601;Modify System Image;['defense-evasion'];['Network'];;;0,27;0,55;0,77;0,85;0,798928515
94;Enterprise;T1600.002;Disable Crypto Hardware;['defense-evasion'];['Network'];;;0,27;0,55;0,77;0,85;0,798928515
95;Enterprise;T1600.001;Reduce Key Space;['defense-evasion'];['Network'];;;0,27;0,55;0,77;0,85;0,798928515
96;Enterprise;T1600;Weaken Encryption;['defense-evasion'];['Network'];;;0,27;0,55;0,77;0,85;0,798928515
97;Enterprise;T1556.004;Network Device Authentication;['credential-access', 'defense-evasion', 'persistence'];['Network'];;;0,27;0,55;0,77;0,85;0,798928515
98;Enterprise;T1599.001;Network Address Translation Traversal;['defense-evasion'];['Network'];;;0,27;0,85;0,77;0,85;1,234707705
99;Enterprise;T1599;Network Boundary Bridging;['defense-evasion'];['Network'];;;0,85;0,85;0,77;0,85;3,887042775
100;Enterprise;T1020.001;Traffic Duplication;['exfiltration'];['Network', 'IaaS'];;;0,85;0,85;0,77;0,85;3,887042775
101;Enterprise;T1557.002;ARP Cache Poisoning;['credential-access', 'collection'];['Linux', 'Windows', 'macOS'];;;0,85;0,85;0,77;0,85;3,887042775
102;Enterprise;T1588.006;Vulnerabilities;['resource-development'];['PRE'];;;0,85;0,55;0,77;0,85;2,515145325
103;Enterprise;T1053.006;Systemd Timers;['execution', 'persistence', 'privilege-escalation'];['Linux'];;;0,62;0,85;0,77;0,85;2,83525473
104;Enterprise;T1562.008;Disable Cloud Logs;['defense-evasion'];['IaaS', 'SaaS', 'Google Workspace', 'Azure AD', 'Office 365'];;;0,85;0,55;0,77;0,85;2,515145325
105;Enterprise;T1547.012;Print Processors;['persistence', 'privilege-escalation'];['Windows'];;;0,27;0,55;0,77;0,85;0,798928515
106;Enterprise;T1598.003;Spearphishing Link;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,62;2,83525473
107;Enterprise;T1598.002;Spearphishing Attachment;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,62;2,83525473
108;Enterprise;T1598.001;Spearphishing Service;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,62;2,83525473
109;Enterprise;T1598;Phishing for Information;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,62;2,83525473
110;Enterprise;T1597.002;Purchase Technical Data;['reconnaissance'];['PRE'];;;0,85;0,85;0,44;0,85;2,2211673
111;Enterprise;T1597.001;Threat Intel Vendors;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
112;Enterprise;T1597;Search Closed Sources;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
113;Enterprise;T1596.005;Scan Databases;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
114;Enterprise;T1596.004;CDNs;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
115;Enterprise;T1596.003;Digital Certificates;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
116;Enterprise;T1596.001;DNS/Passive DNS;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
117;Enterprise;T1596.002;WHOIS;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
118;Enterprise;T1596;Search Open Technical Databases;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
119;Enterprise;T1595.002;Vulnerability Scanning;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
120;Enterprise;T1595.001;Scanning IP Blocks;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
121;Enterprise;T1595;Active Scanning;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
122;Enterprise;T1594;Search Victim-Owned Websites;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
123;Enterprise;T1593.002;Search Engines;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
124;Enterprise;T1593.001;Social Media;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
125;Enterprise;T1593;Search Open Websites/Domains;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
126;Enterprise;T1592.004;Client Configurations;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
127;Enterprise;T1592.003;Firmware;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
128;Enterprise;T1592.002;Software;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
129;Enterprise;T1592.001;Hardware;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
130;Enterprise;T1592;Gather Victim Host Information;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
131;Enterprise;T1591.004;Identify Roles;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
132;Enterprise;T1591.003;Identify Business Tempo;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
133;Enterprise;T1591.001;Determine Physical Locations;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
134;Enterprise;T1591.002;Business Relationships;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
135;Enterprise;T1591;Gather Victim Org Information;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
136;Enterprise;T1590.006;Network Security Appliances;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
137;Enterprise;T1590.005;IP Addresses;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
138;Enterprise;T1590.004;Network Topology;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
139;Enterprise;T1590.003;Network Trust Dependencies;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
140;Enterprise;T1590.002;DNS;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
141;Enterprise;T1590.001;Domain Properties;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
142;Enterprise;T1590;Gather Victim Network Information;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
143;Enterprise;T1589.003;Employee Names;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
144;Enterprise;T1589.002;Email Addresses;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
145;Enterprise;T1589.001;Credentials;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
146;Enterprise;T1589;Gather Victim Identity Information;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
147;Enterprise;T1588.005;Exploits;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
148;Enterprise;T1588.004;Digital Certificates;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
149;Enterprise;T1588.003;Code Signing Certificates;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
150;Enterprise;T1588.002;Tool;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
151;Enterprise;T1588.001;Malware;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
152;Enterprise;T1588;Obtain Capabilities;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
153;Enterprise;T1587.004;Exploits;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
154;Enterprise;T1587.003;Digital Certificates;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
155;Enterprise;T1587.002;Code Signing Certificates;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
156;Enterprise;T1587.001;Malware;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
157;Enterprise;T1587;Develop Capabilities;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
158;Enterprise;T1586.002;Email Accounts;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
159;Enterprise;T1586.001;Social Media Accounts;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
160;Enterprise;T1586;Compromise Accounts;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
161;Enterprise;T1585.002;Email Accounts;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
162;Enterprise;T1585.001;Social Media Accounts;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
163;Enterprise;T1585;Establish Accounts;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
164;Enterprise;T1584.006;Web Services;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
165;Enterprise;T1584.005;Botnet;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
166;Enterprise;T1584.004;Server;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
167;Enterprise;T1584.003;Virtual Private Server;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
168;Enterprise;T1584.002;DNS Server;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
169;Enterprise;T1584.001;Domains;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
170;Enterprise;T1583.006;Web Services;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
171;Enterprise;T1583.005;Botnet;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
172;Enterprise;T1583.004;Server;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
173;Enterprise;T1583.003;Virtual Private Server;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
174;Enterprise;T1583.002;DNS Server;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
175;Enterprise;T1584;Compromise Infrastructure;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
176;Enterprise;T1583.001;Domains;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
177;Enterprise;T1583;Acquire Infrastructure;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
178;Enterprise;T1564.007;VBA Stomping;['defense-evasion'];['Linux', 'Windows', 'macOS'];;;0,62;0,55;0,77;0,85;1,83457659
179;Enterprise;T1558.004;AS-REP Roasting;['credential-access'];['Windows'];;;0,62;0,55;0,77;0,85;1,83457659
180;Enterprise;T1580;Cloud Infrastructure Discovery;['discovery'];['IaaS'];;;0,85;0,55;0,77;0,85;2,515145325
181;Enterprise;T1218.012;Verclsid;['defense-evasion'];['Windows'];;;0,85;0,55;0,77;0,85;2,515145325
182;Enterprise;T1205.001;Port Knocking;['defense-evasion', 'persistence', 'command-and-control'];['Linux', 'macOS', 'Windows', 'Network'];;;0,62;0,85;0,44;0,85;1,62014556
183;Enterprise;T1564.006;Run Virtual Instance;['defense-evasion'];['Linux', 'macOS', 'Windows'];;;0,62;0,55;0,44;0,85;1,04832948
184;Enterprise;T1564.005;Hidden File System;['defense-evasion'];['Linux', 'macOS', 'Windows'];;;0,62;0,55;0,44;0,85;1,04832948
185;Enterprise;T1556.003;Pluggable Authentication Modules;['credential-access', 'defense-evasion', 'persistence'];['Linux', 'macOS'];;;0,27;0,55;0,44;0,85;0,45653058
186;Enterprise;T1574.012;COR_PROFILER;['persistence', 'privilege-escalation', 'defense-evasion'];['Windows'];;;0,62;0,55;0,44;0,85;1,04832948
187;Enterprise;T1562.007;Disable or Modify Cloud Firewall;['defense-evasion'];['IaaS'];;;0,85;0,85;0,77;0,85;3,887042775
188;Enterprise;T1098.004;SSH Authorized Keys;['persistence'];['Linux', 'macOS', 'IaaS', 'Network'];;;0,85;0,55;0,77;0,85;2,515145325
189;Enterprise;T1480.001;Environmental Keying;['defense-evasion'];['Linux', 'macOS', 'Windows'];;;0,85;0,55;0,44;0,85;1,4372259
190;Enterprise;T1059.007;JavaScript;['execution'];['Windows', 'macOS', 'Linux'];;;0,62;0,55;0,77;0,85;1,83457659
191;Enterprise;T1578.004;Revert Cloud Instance;['defense-evasion'];['IaaS'];;;0,62;0,55;0,77;0,85;1,83457659
192;Enterprise;T1578.003;Delete Cloud Instance;['defense-evasion'];['IaaS'];;;0,62;0,55;0,77;0,85;1,83457659
193;Enterprise;T1578.001;Create Snapshot;['defense-evasion'];['IaaS'];;;0,62;0,55;0,77;0,85;1,83457659
194;Enterprise;T1578.002;Create Cloud Instance;['defense-evasion'];['IaaS'];;;0,62;0,55;0,77;0,85;1,83457659
195;Enterprise;T1127.001;MSBuild;['defense-evasion'];['Windows'];;;0,85;0,55;0,44;0,85;1,4372259
196;Enterprise;T1027.005;Indicator Removal from Tools;['defense-evasion'];['Linux', 'macOS', 'Windows'];;;0,85;0,55;0,77;0,85;2,515145325
197;Enterprise;T1562.006;Indicator Blocking;['defense-evasion'];['Windows', 'macOS', 'Linux'];;;0,85;0,55;0,77;0,85;2,515145325
198;Enterprise;T1573.002;Asymmetric Cryptography;['command-and-control'];['Linux', 'macOS', 'Windows'];;;0,85;0,85;0,44;0,85;2,2211673
199;Enterprise;T1573.001;Symmetric Cryptography;['command-and-control'];['Linux', 'Windows', 'macOS'];;;0,85;0,85;0,44;0,85;2,2211673
200;Enterprise;T1573;Encrypted Channel;['command-and-control'];['Linux', 'macOS', 'Windows'];;;0,85;0,85;0,44;0,85;2,2211673
201;Enterprise;T1027.004;Compile After Delivery;['defense-evasion'];['Linux', 'macOS', 'Windows'];;;0,62;0,55;0,77;0,85;1,83457659
202;Enterprise;T1574.004;Dylib Hijacking;['persistence', 'privilege-escalation', 'defense-evasion'];['macOS'];;;0,85;0,55;0,77;0,85;2,515145325
203;Enterprise;T1546.015;Component Object Model Hijacking;['privilege-escalation', 'persistence'];['Windows'];;;0,62;0,55;0,44;0,85;1,04832948
204;Enterprise;T1071.004;DNS;['command-and-control'];['Linux', 'macOS', 'Windows'];;;0,85;0,85;0,44;0,85;2,2211673
205;Enterprise;T1071.003;Mail Protocols;['command-and-control'];['Linux', 'macOS', 'Windows'];;;0,85;0,85;0,44;0,85;2,2211673
206;Enterprise;T1071.002;File Transfer Protocols;['command-and-control'];['Linux', 'macOS', 'Windows'];;;0,85;0,85;0,44;0,85;2,2211673
207;Enterprise;T1071.001;Web Protocols;['command-and-control'];['Linux', 'macOS', 'Windows'];;;0,85;0,85;0,44;0,85;2,2211673
208;Enterprise;T1572;Protocol Tunneling;['command-and-control'];['Linux', 'macOS', 'Windows'];;;0,85;0,85;0,44;0,85;2,2211673
